Date,Open,Close,High,Volume
2021-08-19,4382.43,4405.79,4418.6,4398410000.0
2021-08-18,4440.93,4400.27,4454.31,3755590000.0
2021-08-17,4462.12,4448.08,4462.12,3836960000.0
2021-08-16,4461.64,4479.7,4480.25,3370640000.0
2021-08-13,4464.83,4468.0,4468.37,3016470000.0
2021-08-12,4446.08,4460.83,4461.77,3375310000.0
2021-08-11,4442.18,4442.41,4449.43,3532560000.0
2021-08-10,4435.79,4436.75,4445.2,3886610000.0
2021-08-09,4437.77,4432.35,4439.39,3449280000.0
2021-08-06,4429.06,4436.52,4440.81,3451870000.0
2021-08-05,4408.85,4429.1,4429.75,3769410000.0
2021-08-04,4415.95,4402.66,4416.16,4260760000.0
2021-08-03,4392.74,4423.14,4423.79,3965190000.0
2021-08-02,4406.85,4387.16,4422.18,3724090000.0
2021-07-30,4395.12,4395.25,4412.25,3956740000.0
2021-07-29,4403.58,4419.14,4429.97,4044600000.0
2021-07-28,4402.95,4400.64,4415.47,4215290000.0
2021-07-27,4416.37,4401.45,4416.37,4241950000.0
2021-07-26,4409.58,4422.29,4422.72,4275630000.0
2021-07-23,4381.2,4411.79,4415.18,4540070000.0
2021-07-22,4361.27,4367.47,4369.87,3358300000.0
2021-07-21,4331.12,4358.68,4359.7,3810280000.0
2021-07-20,4265.1,4323.06,4336.83,4438270000.0
2021-07-19,4296.39,4258.49,4296.39,5157660000.0
2021-07-16,4367.43,4327.16,4375.08,3985700000.0
2021-07-15,4369.02,4360.02,4369.02,3905230000.0
2021-07-14,4380.1,4374.29,4393.68,4006370000.0
2021-07-13,4381.06,4369.2,4392.37,3695430000.0
2021-07-12,4372.41,4384.62,4386.68,3384460000.0
2021-07-09,4329.37,4369.54,4371.6,3531120000.0
2021-07-08,4321.06,4320.81,4330.87,4347500000.0
2021-07-07,4351.0,4358.12,4361.87,4037380000.0
2021-07-06,4356.45,4343.54,4356.45,4309570000.0
2021-07-02,4326.6,4352.33,4355.43,3225840000.0
2021-07-01,4300.72,4319.93,4320.66,3788230000.0
2021-06-30,4290.64,4297.5,4302.43,4266040000.0
2021-06-29,4293.2,4291.79,4300.52,3707150000.0
2021-06-28,4284.89,4290.6,4292.14,4147890000.0
2021-06-25,4274.45,4280.7,4286.12,7341450000.0
2021-06-24,4256.97,4266.49,4271.27,3816660000.0
2021-06-23,4249.27,4241.83,4256.6,3730350000.0
2021-06-22,4224.6,4246.43,4255.83,3828390000.0
2021-06-21,4173.39,4224.79,4226.24,4128950000.0
2021-06-18,4204.77,4166.45,4204.77,6817010000.0
2021-06-17,4220.37,4221.85,4232.29,5312680000.0
2021-06-16,4248.87,4223.7,4251.89,4538350000.0
2021-06-15,4255.27,4246.58,4257.16,4048940000.0
2021-06-14,4248.31,4255.14,4255.58,4151200000.0
2021-06-11,4242.89,4247.43,4248.37,3815010000.0
2021-06-10,4228.56,4239.18,4249.74,4408210000.0
2021-06-09,4232.99,4219.54,4237.08,4713260000.0
2021-06-08,4233.81,4227.25,4236.74,4659620000.0
2021-06-07,4229.33,4226.52,4232.33,4476920000.0
2021-06-04,4206.04,4229.89,4233.45,4139790000.0
2021-06-03,4191.43,4192.85,4204.39,5587970000.0
2021-06-02,4206.81,4208.12,4217.37,5833670000.0
2021-06-01,4216.52,4202.04,4234.12,5074670000.0
2021-05-28,4210.77,4204.1,4218.35,4649250000.0
2021-05-27,4201.93,4200.87,4213.37,6406310000.0
2021-05-26,4191.58,4195.99,4202.6,4420890000.0
2021-05-25,4205.93,4188.12,4213.41,4182250000.0
2021-05-24,4170.16,4197.04,4209.52,3684800000.0
2021-05-21,4168.6,4155.85,4188.72,3995250000.0
2021-05-20,4121.97,4159.12,4172.79,3978880000.0
2021-05-19,4098.45,4115.68,4116.93,4247450000.0
2021-05-18,4165.93,4127.83,4169.14,4398150000.0
2021-05-17,4169.91,4163.29,4171.91,4125050000.0
2021-05-14,4129.58,4173.85,4183.12,4008880000.0
2021-05-13,4074.98,4112.5,4131.58,4779540000.0
2021-05-12,4130.54,4063.04,4134.72,4733070000.0
2021-05-11,4150.33,4152.1,4162.04,4870710000.0
2021-05-10,4228.29,4188.43,4236.39,4560700000.0
2021-05-07,4210.33,4232.6,4238.04,4016080000.0
2021-05-06,4169.14,4201.62,4202.7,4511000000.0
2021-05-05,4177.06,4167.58,4187.72,4230920000.0
2021-05-04,4179.04,4164.66,4179.04,4452460000.0
2021-05-03,4191.97,4192.66,4209.39,4070220000.0
2021-04-30,4198.1,4181.16,4198.1,4300880000.0
2021-04-29,4206.14,4211.47,4218.77,4298680000.0
2021-04-28,4185.14,4183.18,4201.52,3787360000.0
2021-04-27,4188.25,4186.72,4193.35,3710700000.0
2021-04-26,4185.02,4187.62,4194.18,3748320000.0
2021-04-23,4138.77,4180.16,4194.16,3569880000.0
2021-04-22,4170.45,4134.97,4179.56,4245140000.0
2021-04-21,4128.41,4173.41,4175.02,3887250000.0
2021-04-20,4159.18,4134.93,4159.18,4342650000.0
2021-04-19,4179.79,4163.25,4180.81,3810290000.0
2021-04-16,4174.14,4185.47,4191.31,4163820000.0
2021-04-15,4139.75,4170.41,4173.49,4033420000.0
2021-04-14,4141.58,4124.66,4151.68,3985350000.0
2021-04-13,4130.1,4141.58,4148.0,3734720000.0
2021-04-12,4124.7,4127.99,4131.75,3588900000.0
2021-04-09,4096.1,4128.79,4129.47,3640390000.0
2021-04-08,4089.94,4097.16,4098.18,3907100000.0
2021-04-07,4074.29,4079.94,4083.12,4120810000.0
2021-04-06,4075.57,4073.93,4086.22,4081270000.0
2021-04-05,4034.43,4077.9,4083.41,4005030000.0
2021-04-01,3992.78,4019.87,4020.62,4162130000.0
2021-03-31,3967.25,3972.88,3994.4,4578050000.0
2021-03-30,3963.34,3958.55,3968.01,4121510000.0
2021-03-29,3969.31,3971.09,3981.83,4628180000.0
2021-03-26,3917.12,3974.54,3978.18,5483160000.0
2021-03-25,3879.34,3909.52,3919.54,4948340000.0
2021-03-24,3919.92,3889.13,3942.08,4783020000.0
2021-03-23,3937.6,3910.52,3949.12,4669010000.0
2021-03-22,3916.47,3940.59,3955.31,4316260000.0
2021-03-19,3913.13,3913.1,3930.12,7757420000.0
2021-03-18,3953.5,3915.45,3969.62,5118590000.0
2021-03-17,3949.57,3974.12,3983.87,4561660000.0
2021-03-16,3973.59,3962.7,3981.04,4613080000.0
2021-03-15,3942.95,3968.93,3970.08,4900100000.0
2021-03-12,3924.52,3943.34,3944.98,4476280000.0
2021-03-11,3915.54,3939.34,3960.27,5312880000.0
2021-03-10,3891.98,3898.81,3917.35,5847380000.0
2021-03-09,3851.92,3875.43,3903.76,5513560000.0
2021-03-08,3844.38,3821.35,3881.06,5871710000.0
2021-03-05,3793.58,3841.93,3851.68,6851070000.0
