,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Momentum,lagged_sentiment_score,rolling_sentiment_score,log_return,conditional_volatility,volatility_shocks,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3
2205,2014-01-02,1845.85,1831.97,1845.85,3080600000.0,-0.0199999999999999,1,-10.049999999999956,-0.16,-0.12,-0.003220842873201808,1.04520440061472,-0.30815435443129796,1.1369001021866207,1.236824581916057,1.204240699224313
2206,2013-12-26,1834.95,1842.02,1842.83,1982270000.0,-0.16,1,8.710000000000036,0.11,-0.1171428571428572,0.005470904965464569,0.96758917206637,0.5654161004903538,1.04520440061472,1.1369001021866207,1.236824581916057
2207,2013-12-24,1828.02,1833.31,1833.31,1307630000.0,0.11,1,5.329999999999927,0.3299999999999999,-0.1042857142857143,-0.004739719320874927,0.9287383945555218,-0.5103395475690736,0.96758917206637,1.04520440061472,1.1369001021866207
2208,2013-12-23,1822.92,1827.98,1829.75,2851540000.0,0.3299999999999999,1,9.670000000000073,0.58,-0.08,-0.002911544163527084,0.8730988506480891,-0.33347245404868936,0.9287383945555218,0.96758917206637,1.04520440061472
2209,2013-12-20,1810.39,1818.31,1823.75,5097700000.0,0.58,1,8.720000000000027,-0.07,0.0599999999999999,-0.005304033782456589,0.8124107815848579,-0.6528758483620114,0.8730988506480891,0.9287383945555218,0.96758917206637
2210,2013-12-19,1809.0,1809.59,1810.88,3497210000.0,-0.07,0,-1.0600000000001728,0.0,0.0657142857142856,-0.0048071979892744835,0.7762468159393795,-0.6192873053472079,0.8124107815848579,0.8730988506480891,0.9287383945555218
2211,2013-12-18,1781.45,1810.65,1811.07,4327770000.0,0.0,1,29.65000000000009,0.0,0.1099999999999999,0.0005855965517709455,0.7400163477271099,0.07913292099148213,0.7762468159393795,0.8124107815848579,0.8730988506480891
2212,2013-12-17,1786.46,1781.0,1786.77,3270030000.0,0.0,0,-5.539999999999964,0.19,0.1128571428571428,-0.01651089252558418,0.6907577288217979,-2.3902580943605582,0.7400163477271099,0.7762468159393795,0.8124107815848579
2213,2013-12-16,1777.47,1786.54,1792.21,3209890000.0,0.19,1,11.039999999999964,0.28,0.1628571428571427,0.0031057840714818147,0.9161667596844171,0.3389976812247187,0.6907577288217979,0.7400163477271099,0.7762468159393795
2214,2013-12-12,1781.7,1775.5,1782.98,3306640000.0,0.28,0,-29.579999999999927,0.6400000000000001,0.187142857142857,-0.006198714978001026,0.8610888882102561,-0.7198693494796853,0.9161667596844171,0.6907577288217979,0.7400163477271099
2215,2013-12-06,1788.35,1805.08,1806.04,3150030000.0,0.6400000000000001,1,20.049999999999955,-0.06,0.2314285714285713,0.016522838731317355,0.8278708738646268,1.9958231715758086,0.8610888882102561,0.9161667596844171,0.6907577288217979
2216,2013-12-05,1792.81,1785.03,1792.81,3336880000.0,-0.06,0,-7.779999999999973,-0.06,0.1399999999999999,-0.011169690319262949,1.047928043024679,-1.0658833298346897,0.8278708738646268,0.8610888882102561,0.9161667596844171
2217,2013-12-04,1793.15,1792.81,1799.8,3610540000.0,-0.06,0,-8.090000000000146,0.15,0.1414285714285714,0.004348999542987496,1.0562706428849955,0.4117315550027083,1.047928043024679,0.8278708738646268,0.8610888882102561
2218,2013-12-02,1806.55,1800.9,1810.02,3095430000.0,0.15,0,-6.319999999999936,0.35,0.1628571428571428,0.0045023185877225485,0.9948244606965337,0.4525741741985533,1.0562706428849955,1.047928043024679,0.8278708738646268
2219,2013-11-27,1803.47,1807.22,1808.27,2613590000.0,0.35,1,11.38000000000011,-0.12,0.2128571428571428,0.0035032130103855833,0.9422721626376598,0.3717835620421172,0.9948244606965337,1.0562706428849955,1.047928043024679
2220,2013-11-21,1783.52,1795.84,1797.16,3256630000.0,-0.12,1,14.480000000000018,-0.2499999999999999,0.1685714285714285,-0.006316873902305988,0.8872533094943733,-0.7119583364423673,0.9422721626376598,0.9948244606965337,1.0562706428849955
2221,2013-11-20,1789.58,1781.36,1795.72,3109140000.0,-0.2499999999999999,0,-9.25,-0.17,0.0928571428571428,-0.008095761537784798,0.8517765584822016,-0.9504560153910322,0.8872533094943733,0.9422721626376598,0.9948244606965337
2222,2013-11-14,1782.75,1790.61,1791.53,3139060000.0,-0.17,1,20.00999999999999,-0.49,-0.0228571428571429,0.0051792264084646,0.8447114237674863,0.6131355943269715,0.8517765584822016,0.8872533094943733,0.9422721626376598
2223,2013-11-08,1748.36,1770.6,1770.78,3837170000.0,-0.49,1,23.449999999999815,0.22,-0.0842857142857143,-0.01123787172771797,0.8196514856692293,-1.371054884203921,0.8447114237674863,0.8517765584822016,0.8872533094943733
2224,2013-11-07,1770.73,1747.15,1774.54,4143200000.0,0.22,1,-14.490000000000007,0.76,-0.0442857142857143,-0.013332583251960238,0.8744187742262067,-1.524736618762394,0.8196514856692293,0.8447114237674863,0.8517765584822016
2225,2013-11-01,1758.69,1761.64,1765.67,3686290000.0,0.76,1,5.100000000000136,-0.14,0.0428571428571428,0.008259304415971662,0.9612528375137291,0.8592228905491994,0.8744187742262067,0.8196514856692293,0.8447114237674863
2226,2013-10-31,1763.23,1756.54,1768.53,3826530000.0,-0.14,0,-6.769999999999982,-0.01,-0.0271428571428571,-0.0028992283353027333,0.9617707736076767,-0.3014469159244154,0.9612528375137291,0.8744187742262067,0.8196514856692293
2227,2013-10-30,1772.27,1763.31,1775.21,3523040000.0,-0.01,1,-8.63000000000011,-0.11,-0.0114285714285714,0.00384675957684991,0.8915390444313924,0.43147404489764146,0.9617707736076767,0.9612528375137291,0.8744187742262067
2228,2013-10-29,1762.93,1771.94,1772.08,3358460000.0,-0.11,1,12.170000000000073,-0.1,0.0085714285714285,0.004882266964108074,0.845735659822323,0.5772804903524783,0.8915390444313924,0.9617707736076767,0.9612528375137291
2229,2013-10-25,1756.01,1759.77,1759.81,3175720000.0,-0.1,1,7.710000000000036,-0.23,0.0185714285714285,-0.006891872872212408,0.8169422186078827,-0.8436181550216075,0.845735659822323,0.8915390444313924,0.9617707736076767
2230,2013-10-24,1747.47,1752.06,1753.93,3671700000.0,-0.23,0,-2.6100000000001273,0.01,0.0557142857142856,-0.004390880189124199,0.7985233928602611,-0.5498749602558717,0.8169422186078827,0.845735659822323,0.8915390444313924
2231,2013-10-22,1746.47,1754.67,1759.32,3850840000.0,0.01,1,21.519999999999985,-0.07,0.0257142857142856,0.001488566546008985,0.755813035289954,0.19694904381186326,0.7985233928602611,0.8169422186078827,0.845735659822323
2232,2013-10-17,1720.17,1733.15,1733.44,3453590000.0,-0.07,1,29.960000000000036,-0.39,-0.0928571428571429,-0.012340242954607325,0.7087132027148012,-1.741218155289998,0.755813035289954,0.7985233928602611,0.8169422186078827
